,Participant_id,Chain_id,Generation,group,Flip,code,Flip_bi,In_response,Out_response,In_correct_response,Out_correct_response,In_response_difference,Out_response_difference,rho,phi,In_grid,Out_grid
37,1408,4,8,Add1_InOut_change_YesNo,0.0,Add1,0.0,60.77777777777777,59.77777777777777,66.0,65.0,-5.2222222222222285,-5.2222222222222285,7.385337492392838,-2.356194490192345,6.0,6.0
38,1409,4,9,Add1_InOut_change_YesNo,0.0,Add1,0.0,61.66666666666667,60.11111111111112,61.0,60.0,0.6666666666666714,0.1111111111111213,0.6758625033664752,0.16514867741464057,6.0,6.0
39,1410,4,10,Add1_InOut_change_YesNo,0.0,Add1,0.0,63.55555555555556,59.66666666666667,62.0,60.0,1.5555555555555571,-0.3333333333333286,1.5908690070307066,-0.21109333322274343,6.0,6.0
40,1501,5,1,Add1_InOut_change_YesNo,0.0,Add1,0.0,59.77777777777777,52.44444444444445,65.0,52.0,-5.2222222222222285,0.4444444444444499,5.241100628920342,3.0566908601400704,6.0,5.0
41,1502,5,2,Add1_InOut_change_YesNo,0.0,Add1,0.0,58.333333333333336,52.44444444444445,60.0,52.0,-1.6666666666666643,0.4444444444444499,1.7249082995844462,2.8809902618424488,6.0,5.0
42,1503,5,3,Add1_InOut_change_YesNo,0.0,Add1,0.0,59.55555555555555,53.333333333333336,58.0,52.0,1.55555555555555,1.3333333333333357,2.0487876571761947,0.7086262721276729,5.0,5.0
43,1504,5,4,Add1_InOut_change_YesNo,0.0,Add1,0.0,59.77777777777777,51.0,60.0,53.0,-0.2222222222222285,-2.0,2.0123078084749824,-1.6814535479687953,6.0,5.0
44,1505,5,5,Add1_InOut_change_YesNo,0.0,Add1,0.0,61.77777777777778,50.66666666666667,60.0,51.0,1.7777777777777786,-0.3333333333333286,1.8087578440110785,-0.18534794999569212,6.0,5.0
45,1506,5,6,Add1_InOut_change_YesNo,0.0,Add1,0.0,64.22222222222223,51.888888888888886,62.0,51.0,2.2222222222222285,0.8888888888888857,2.3934065809486733,0.3805063771123627,6.0,5.0
46,1507,5,7,Add1_InOut_change_YesNo,0.0,Add1,0.0,51.55555555555556,48.77777777777778,64.0,52.0,-12.444444444444445,-3.222222222222221,12.854840083806835,-2.8882284427836544,6.0,5.0
47,1508,5,8,Add1_InOut_change_YesNo,0.0,Add1,0.0,52.888888888888886,47.44444444444444,52.0,49.0,0.8888888888888857,-1.5555555555555571,1.791612832955233,-1.0516502125483755,5.0,4.0
48,1509,5,9,Add1_InOut_change_YesNo,0.0,Add1,0.0,52.33333333333333,47.66666666666667,53.0,47.0,-0.6666666666666714,0.6666666666666714,0.94280904158207,2.356194490192345,5.0,4.0
49,1510,5,10,Add1_InOut_change_YesNo,0.0,Add1,0.0,52.33333333333333,45.22222222222222,52.0,48.0,0.3333333333333286,-2.7777777777777786,2.797706291558705,-1.4513674007765598,5.0,4.0
50,1601,6,1,Add1_InOut_change_YesNo,0.0,Add1,0.0,52.22222222222223,63.888888888888886,52.0,65.0,0.2222222222222285,-1.1111111111111145,1.1331154474650678,-1.373400766945011,5.0,6.0
51,1602,6,2,Add1_InOut_change_YesNo,0.0,Add1,0.0,44.888888888888886,61.11111111111112,52.0,64.0,-7.111111111111114,-2.888888888888878,7.675518239631352,-2.755709984191721,5.0,6.0
52,1603,6,3,Add1_InOut_change_YesNo,0.0,Add1,0.0,49.55555555555556,61.55555555555555,45.0,61.0,4.555555555555557,0.55555555555555,4.589305872902974,0.12135200057076244,4.0,6.0
53,1604,6,4,Add1_InOut_change_YesNo,0.0,Add1,0.0,47.66666666666667,57.55555555555556,50.0,62.0,-2.3333333333333286,-4.444444444444443,5.019714221367337,-2.054243328362095,5.0,6.0
54,1605,6,5,Add1_InOut_change_YesNo,0.0,Add1,0.0,47.0,57.77777777777777,48.0,58.0,-1.0,-0.2222222222222285,1.0243938285881,-2.9229237077158454,4.0,5.0
55,1606,6,6,Add1_InOut_change_YesNo,0.0,Add1,0.0,47.55555555555556,55.888888888888886,47.0,58.0,0.5555555555555571,-2.1111111111111143,2.182986967154281,-1.3134726118238076,4.0,5.0
56,1607,6,7,Add1_InOut_change_YesNo,0.0,Add1,0.0,46.88888888888889,57.55555555555556,48.0,56.0,-1.1111111111111072,1.5555555555555571,1.9116278371205828,2.191045812777716,4.0,5.0
57,1608,6,8,Add1_InOut_change_YesNo,0.0,Add1,0.0,47.22222222222222,62.33333333333333,47.0,58.0,0.2222222222222214,4.333333333333329,4.339027597725915,1.519559159391478,4.0,5.0
58,1609,6,9,Add1_InOut_change_YesNo,0.0,Add1,0.0,49.85185411241319,50.0,47.0,62.0,2.851854112413193,-12.0,12.334223602581885,-1.3374702718072726,4.0,6.0
59,1610,6,10,Add1_InOut_change_YesNo,3.0,Add1,0.0,50.0,49.888888888888886,50.0,50.0,0.0,-0.1111111111111142,0.1111111111111142,-1.5707963267948966,5.0,5.0
60,1701,7,1,Add1_InOut_change_YesNo,0.0,Add1,0.0,71.88888888888889,37.55555555555555,67.0,36.0,4.888888888888886,1.55555555555555,5.130398391384526,0.3080527810237756,6.0,3.0
61,1702,7,2,Add1_InOut_change_YesNo,0.0,Add1,0.0,77.22222222222223,37.44444444444445,72.0,38.0,5.2222222222222285,-0.55555555555555,5.251689910265105,-0.10598435798959872,7.0,3.0
62,1703,7,3,Add1_InOut_change_YesNo,0.0,Add1,0.0,79.11111111111111,29.55555555555556,77.0,37.0,2.1111111111111143,-7.444444444444439,7.737993487324506,-1.294469051819831,7.0,3.0
63,1704,7,4,Add1_InOut_change_YesNo,0.0,Add1,0.0,71.55555555555554,22.0,79.0,30.0,-7.444444444444457,-8.0,10.92793452974623,-2.320238769871746,7.0,3.0
64,1705,7,5,Add1_InOut_change_YesNo,0.0,Add1,0.0,77.77777777777779,16.555555555555557,72.0,22.0,5.777777777777786,-5.444444444444443,7.938809190176117,-0.755703923790538,7.0,2.0
65,1706,7,6,Add1_InOut_change_YesNo,0.0,Add1,0.0,71.44444444444444,21.88888888888889,78.0,17.0,-6.555555555555557,4.888888888888889,8.177807970958757,2.5008089294122855,7.0,1.0
66,1707,7,7,Add1_InOut_change_YesNo,0.0,Add1,0.0,71.66666666666667,22.33333333333333,71.0,22.0,0.6666666666666714,0.3333333333333286,0.745355992499932,0.4636476090007976,7.0,2.0
67,1708,7,8,Add1_InOut_change_YesNo,0.0,Add1,0.0,74.44444444444444,16.88888888888889,72.0,22.0,2.444444444444443,-5.111111111111111,5.665577237325315,-1.1246907778514932,7.0,2.0
68,1709,7,9,Add1_InOut_change_YesNo,0.0,Add1,0.0,62.0,7.555555555555555,74.0,17.0,-12.0,-9.444444444444445,15.270806490300291,-2.474806089053082,7.0,1.0
69,1710,7,10,Add1_InOut_change_YesNo,0.0,Add1,0.0,56.66666666666666,5.666666666666666,62.0,8.0,-5.333333333333343,-2.333333333333334,5.821416398857669,-2.7291822119924065,6.0,0.0
70,1801,8,1,Add1_InOut_change_YesNo,0.0,Add1,0.0,37.11111111111112,69.0,36.0,67.0,1.1111111111111214,2.0,2.2879178091082273,1.0636978224025557,3.0,6.0
71,1802,8,2,Add1_InOut_change_YesNo,0.0,Add1,0.0,25.666666666666664,74.22222222222223,37.0,69.0,-11.333333333333336,5.2222222222222285,12.478623697456229,2.709806768486347,3.0,6.0
72,1803,8,3,Add1_InOut_change_YesNo,0.0,Add1,0.0,20.666666666666668,76.44444444444444,26.0,74.0,-5.333333333333332,2.444444444444443,5.866835014419592,2.711830374493105,2.0,7.0
73,1804,8,4,Add1_InOut_change_YesNo,0.0,Add1,0.0,23.55555555555556,72.66666666666667,21.0,76.0,2.555555555555557,-3.3333333333333286,4.200235149207952,-0.9167136023805353,2.0,7.0
74,1805,8,5,Add1_InOut_change_YesNo,0.0,Add1,0.0,24.70370144314236,73.14814588758681,24.0,73.0,0.7037014431423607,0.1481458875868071,0.7191265014512565,0.20749379797166947,2.0,7.0
75,1806,8,6,Add1_InOut_change_YesNo,0.0,Add1,0.0,23.55555555555556,76.66666666666667,25.0,73.0,-1.4444444444444429,3.666666666666672,3.940921744659604,1.946067149650853,2.0,7.0
76,1807,8,7,Add1_InOut_change_YesNo,1.0,Add1,1.0,82.11111111111111,16.333333333333332,24.0,77.0,58.11111111111112,-60.66666666666667,84.00800961225274,-0.8069102793736049,2.0,7.0
77,1808,8,8,Add1_InOut_change_YesNo,0.0,Add1,0.0,81.11111111111111,19.11111111111111,82.0,16.0,-0.8888888888888857,3.1111111111111107,3.2356043952357845,1.8490959858000071,8.0,1.0
78,1809,8,9,Add1_InOut_change_YesNo,0.0,Add1,0.0,80.44444444444444,15.666666666666668,81.0,19.0,-0.5555555555555571,-3.333333333333332,3.3793125168323437,-1.735945004209524,8.0,1.0
79,1810,8,10,Add1_InOut_change_YesNo,0.0,Add1,0.0,80.33333333333333,13.111111111111112,80.0,16.0,0.3333333333333286,-2.8888888888888875,2.908056072956087,-1.455919721377999,8.0,1.0
80,1901,9,1,Add1_InOut_change_YesNo,0.0,Add1,0.0,43.22222222222222,52.44444444444445,41.0,52.0,2.222222222222221,0.4444444444444499,2.2662308949301266,0.19739555984988325,4.0,5.0
